,usuarioA,usuarioB
0,76740397,76740397
1,76740397,78961713
2,3506071,3506071
3,26175,26175
4,26175,8604205
5,26175,8604205
6,26175,26175
7,26175,3506071
8,26175,3506071
9,26175,1544111
10,26175,1758366
11,26175,3506071
12,26175,216296
13,20567197,8604205
14,20567197,20567197
15,43973132,5384588
16,43973132,43973132
17,43973132,5384588
18,43973132,43973132
19,43973132,3506071
20,64889341,15655
21,64889341,15655
22,64889341,64889341
23,64889341,64889341
24,64889341,216296
25,64889341,64889341
26,51971807,51971807
27,51971807,8604205
28,57912889,1153097
29,57912889,1153097
30,2557616,42710260
31,2557616,8604205
32,12316553,1329895
33,12316553,40416339
34,12316553,8042297
35,12316553,12311971
36,12316553,4933011
37,12316553,662832
38,12316553,1397213
39,12316553,4389906
40,12316553,1758366
41,12316553,4389906
42,12316553,10137
43,12316553,32521698
44,12316553,447754
45,12316553,15655
46,12316553,32521698
47,12316553,447754
48,12316553,15655
49,12316553,32521698
50,12316553,447754
51,12316553,17404800
52,12316553,32521698
53,12316553,559434
54,24964938,8604205
55,9543,8604205
56,177641,8604205
57,177641,177641
58,177641,8604205
59,177641,15655
60,177641,177641
61,95713,8604205
62,95713,94334
63,95713,8604205
64,11266423,8604205
65,11266423,1153097
66,11266423,11266423
67,11266423,36227997
68,11266423,14128010
69,11266423,1153097
70,15345924,8604205
71,15345924,15345924
72,38073283,8604205
73,38073283,38073283
74,38073283,89246
75,38073283,3440331
76,38073283,15655
77,38073283,905840
78,38073283,8604205
79,38073283,905840
80,38073283,905840
81,38073283,8604205
82,7393706,8604205
83,7393706,7393706
84,7393706,1153097
85,7393706,8604205
86,7393706,7393706
87,94334,15655
88,94334,94334
89,94334,94334
90,94334,15655
91,94334,15655
92,94334,89246
93,94334,89246
94,94334,89246
95,94334,94334
96,94334,15655
97,94334,94334
98,94334,15655
99,94334,647210
100,94334,15655
101,94334,647210
102,94334,647210
103,1153097,8709806
104,1153097,30630904
105,1153097,15655
106,1153097,30630904
107,1153097,15655
108,1153097,30630904
109,1153097,1153097
110,1153097,19818679
111,1153097,19818679
112,1153097,15655
113,83819,8604205
114,83819,83819
115,83819,8604205
116,83819,15655
117,3585066,1153097
118,3585066,3585066
119,3585066,12646553
120,1724712,1724712
121,1724712,2146903
122,1724712,1153097
123,1724712,1724712
124,1724712,1724712
125,1724712,1724712
126,1724712,8604205
127,1724712,1724712
128,1724712,8604205
129,1724712,8604205
130,1724712,1724712
131,1724712,8604205
132,2448228,1153097
133,2448228,8604205
134,2448228,391394
135,1347430,89246
136,1347430,8604205
137,1347430,89246
138,1347430,89246
139,923677,8604205
140,923677,923677
141,923677,923677
142,923677,8604205
143,2458,2146903
144,2458,2458
145,2458,2146903
146,2458,1153097
147,2458,2146903
148,2458,2458
149,2458,2146903
150,2458,1153097
